code_name,Molecule,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,xtbjson
mol_1,Amigdalin,-0.974,1,457.432,7,3,7,202.32,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,QDESCP/boltz/mol_1_rdkit_boltz.json
mol_2,Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2,QDESCP/boltz/mol_2_rdkit_boltz.json
mol_3,citral,-2.579,1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC(=O),QDESCP/boltz/mol_3_rdkit_boltz.json
mol_4,Picene,-6.618,2,278.354,0,5,0,0.0,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,QDESCP/boltz/mol_4_rdkit_boltz.json
mol_5,Thiophene,-2.232,2,84.143,0,1,0,0.0,-1.33,c1ccsc1,QDESCP/boltz/mol_5_rdkit_boltz.json
mol_6,benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,c2ccc1scnc1c2 ,QDESCP/boltz/mol_6_rdkit_boltz.json
mol_7,"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,QDESCP/boltz/mol_7_rdkit_boltz.json
mol_8,Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,QDESCP/boltz/mol_8_rdkit_boltz.json
mol_9,Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,QDESCP/boltz/mol_9_rdkit_boltz.json
mol_10,Rotenone,-5.246,1,394.423,0,5,3,63.22,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,QDESCP/boltz/mol_10_rdkit_boltz.json
mol_11,2-pyrrolidone,0.243,1,85.106,1,1,0,29.1,1.07,O=C1CCCN1,QDESCP/boltz/mol_11_rdkit_boltz.json
mol_12,2-Chloronapthalene,-4.063,1,162.619,0,2,0,0.0,-4.14,Clc1ccc2ccccc2c1,QDESCP/boltz/mol_12_rdkit_boltz.json
mol_13,1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,CCCC=C,QDESCP/boltz/mol_13_rdkit_boltz.json
mol_14,Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2,QDESCP/boltz/mol_14_rdkit_boltz.json
mol_15,Tetradecane,-5.45,1,198.394,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC,QDESCP/boltz/mol_15_rdkit_boltz.json
mol_16,2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,CC(C)Cl,QDESCP/boltz/mol_16_rdkit_boltz.json
mol_17,2-Methylbutanol,-1.027,1,88.15,1,0,2,20.23,-0.47,CCC(C)CO,QDESCP/boltz/mol_17_rdkit_boltz.json
mol_18,Benzonitrile,-2.03,1,103.124,0,1,0,23.79,-1.0,N#Cc1ccccc1,QDESCP/boltz/mol_18_rdkit_boltz.json
mol_19,Diazinon,-3.989,1,304.352,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,QDESCP/boltz/mol_19_rdkit_boltz.json
mol_20,2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94,CCCCCCCCCC(C)O,QDESCP/boltz/mol_20_rdkit_boltz.json
mol_21,"2,2',3,4,6-PCB",-6.627,1,326.437,0,2,1,0.0,-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,QDESCP/boltz/mol_21_rdkit_boltz.json
mol_22,Lenacil,-3.355,1,234.299,1,3,1,54.86,-4.594,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,QDESCP/boltz/mol_22_rdkit_boltz.json
mol_23,Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11,CCOP(=S)(OCC)SCSCC,QDESCP/boltz/mol_23_rdkit_boltz.json
mol_24,Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35,CCOc1ccc(NC(=O)C)cc1,QDESCP/boltz/mol_24_rdkit_boltz.json
mol_25,Dinitramine,-4.479,1,322.243,1,1,5,115.54,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,QDESCP/boltz/mol_25_rdkit_boltz.json
mol_26,1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81,CCCCCCCO,QDESCP/boltz/mol_26_rdkit_boltz.json
mol_27,Theophylline,-1.452,1,180.167,1,2,0,72.68,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O,QDESCP/boltz/mol_27_rdkit_boltz.json
mol_28,Butethal,-1.974,1,212.249,2,1,4,75.27,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O,QDESCP/boltz/mol_28_rdkit_boltz.json
mol_29,"P,P'-DDE",-6.553,1,318.03,0,2,2,0.0,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,QDESCP/boltz/mol_29_rdkit_boltz.json
mol_30,Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17,CCCCCCCC(=O)OC,QDESCP/boltz/mol_30_rdkit_boltz.json
mol_31,"1,4-Diethylbenzene ",-3.633,1,134.222,0,1,2,0.0,-3.75,CCc1ccc(CC)cc1,QDESCP/boltz/mol_31_rdkit_boltz.json
mol_32,Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C,QDESCP/boltz/mol_32_rdkit_boltz.json
mol_33,Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,QDESCP/boltz/mol_33_rdkit_boltz.json
mol_34,"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64,ClC(=C)Cl,QDESCP/boltz/mol_34_rdkit_boltz.json
mol_35,1-Methylfluorene,-4.478,1,180.25,0,3,0,0.0,-5.22,Cc1cccc2c1Cc3ccccc32,QDESCP/boltz/mol_35_rdkit_boltz.json
mol_36,Valeraldehyde,-1.103,1,86.134,0,0,3,17.07,-0.85,CCCCC=O,QDESCP/boltz/mol_36_rdkit_boltz.json
mol_37,Diphenylamine,-3.857,2,169.227,1,2,2,12.03,-3.504,N(c1ccccc1)c2ccccc2,QDESCP/boltz/mol_37_rdkit_boltz.json
mol_38,Fenothiocarb,-3.297,1,253.367,0,1,6,29.54,-3.927,CN(C)C(=O)SCCCCOc1ccccc1,QDESCP/boltz/mol_38_rdkit_boltz.json
mol_39,Piperophos,-4.637,1,353.49,0,1,9,38.77,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,QDESCP/boltz/mol_39_rdkit_boltz.json
mol_40,1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81,CCCCCCCI,QDESCP/boltz/mol_40_rdkit_boltz.json
mol_41,3-Chlorobiphenyl,-4.685,1,188.657,0,2,1,0.0,-4.88,c1c(Cl)cccc1c2ccccc2,QDESCP/boltz/mol_41_rdkit_boltz.json
mol_42,4-Pentene-1-ol,-0.791,1,86.134,1,0,3,20.23,-0.15,OCCCC=C,QDESCP/boltz/mol_42_rdkit_boltz.json
mol_43,Cyclobutyl-5-spirobarbituric acid,-0.527,1,168.152,2,2,0,75.27,-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2,QDESCP/boltz/mol_43_rdkit_boltz.json
mol_44,menthol,-2.782,1,156.269,1,1,1,20.23,-2.53,CC(C)C1CCC(C)CC1O ,QDESCP/boltz/mol_44_rdkit_boltz.json
mol_45,Isopropyl formate,-0.684,1,88.106,0,0,2,26.3,-0.63,CC(C)OC=O,QDESCP/boltz/mol_45_rdkit_boltz.json
mol_46,2-Heptanol ,-1.678,1,116.204,1,0,4,20.23,-1.55,CCCCCC(C)O,QDESCP/boltz/mol_46_rdkit_boltz.json
mol_47,p-Bromoacetanilide,-3.012,1,214.062,1,1,1,29.1,-3.083,CC(=O)Nc1ccc(Br)cc1,QDESCP/boltz/mol_47_rdkit_boltz.json
mol_48,brompyrazone,-3.005,1,266.098,1,2,1,60.91,-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O),QDESCP/boltz/mol_48_rdkit_boltz.json
mol_49,nifedipine,-4.248,1,346.339,1,2,4,107.77,-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,QDESCP/boltz/mol_49_rdkit_boltz.json
mol_50,"2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.94,c2c(C)cc1nc(C)ccc1c2 ,QDESCP/boltz/mol_50_rdkit_boltz.json
mol_51,1-Octyne ,-2.509,1,110.2,0,0,4,0.0,-3.66,CCCCCCC#C,QDESCP/boltz/mol_51_rdkit_boltz.json
mol_52,cyclobarbital,-2.421,1,236.271,2,2,2,75.27,-2.17,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,QDESCP/boltz/mol_52_rdkit_boltz.json
mol_53,Chrysene,-5.568,2,228.294,0,4,0,0.0,-8.057,c1ccc2c(c1)ccc3c4ccccc4ccc23,QDESCP/boltz/mol_53_rdkit_boltz.json
mol_54,Bromacil,-3.419,1,261.119,1,1,2,54.86,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,QDESCP/boltz/mol_54_rdkit_boltz.json
mol_55,"2,2',3,3',5,6-PCB",-7.185,1,360.882,0,2,1,0.0,-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,QDESCP/boltz/mol_55_rdkit_boltz.json
mol_56,2-Methylphenol,-2.281,1,108.14,1,1,0,20.23,-0.62,Cc1ccccc1O,QDESCP/boltz/mol_56_rdkit_boltz.json
mol_57,"2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0.0,-5.05,CC(C)CCC(C)(C)C,QDESCP/boltz/mol_57_rdkit_boltz.json
mol_58,"1,4-Dimethylnaphthalene ",-4.147,1,156.228,0,2,0,0.0,-4.14,Cc1ccc(C)c2ccccc12,QDESCP/boltz/mol_58_rdkit_boltz.json
mol_59,6-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14,QDESCP/boltz/mol_59_rdkit_boltz.json
mol_60,2-Pentanone,-0.846,1,86.134,0,0,2,17.07,-0.19,CCCC(=O)C,QDESCP/boltz/mol_60_rdkit_boltz.json
mol_61,"2,2',3,3',5,5',6,6'-PCB",-8.304,1,429.772,0,2,1,0.0,-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,QDESCP/boltz/mol_61_rdkit_boltz.json
mol_62,Methyl butyrate,-1.545,1,116.16,0,0,3,26.3,-0.82,CCCOC(=O)CC,QDESCP/boltz/mol_62_rdkit_boltz.json
mol_63,Triamcinolone,-2.734,1,394.439,4,4,2,115.06,-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,QDESCP/boltz/mol_63_rdkit_boltz.json
mol_64,p-Aminophenol,-1.231,1,109.128,2,1,0,46.25,-0.8,Nc1ccc(O)cc1,QDESCP/boltz/mol_64_rdkit_boltz.json
mol_65,Benznidazole,-2.321,1,260.253,1,2,5,90.06,-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,QDESCP/boltz/mol_65_rdkit_boltz.json
