functional,orca,gaussian,,,
Local and GGA,,,,,
B97-D3,B97-D3,B97D3,,,
B97D,,B97D,,,
BLYP,BLYP,BLYP,,,
BP86,BP86,BP86,,,
BPBE,BPBE,BPBE,,,
GLYP,GLYP,,,,
HCTH,,HCTH,,,
HCTH147,,HCTH147,,,
HCTH407,,HCTH407,,,
HCTH93,,HCTH93,,,
HFS,HFS,HFS,,,
LDA,LDA,,,,
mPWLYP,mPWLYP,mPWLYP,,,
mPWPW,mPWPW,,,,
mPWPW91,,mPWPW91,,,
N12,,N12,,,
OLYP,OLYP,OLYP,,,
OPBE,OPBE,OPBE,,,
PBE,PBE,PBEPBE,,,
PBEhPBE,,PBEh1PBE,,,
PW91,PW91,PW91PW91,,,
PW91P86,,PW91P86,,,
PWP,PWP,,,,
revPBE,revPBE,,,,
RPBE,RPBE,,,,
RPW86PBE,RPW86PBE,,,,
VSXC,,VSXC,,,
VV10,,,,,
XLYP,XLYP,,,,
Meta-GGA,,,,,
M06L,M06L,M06L,,,
M11L,,M11L,,,
MN12L,,MN12L,,,
MN15L,,MN15L,,,
PKZB,,PKZBPKZB,,,
revTPSS,revTPSS,revTPSSrevTPSS,,,
SCAN,SCANfunc ,,,,
SOGGA11,,SOGGA11,,,
tHCTH,,tHCTH,,,
TPSS,TPSS,TPSSTPSS,,,
Hybrid,,,,,
APF,,APF,,,
APFD,,APFD,,,
B1B95,,B1B95,,,
B1LYP,B1LYP,B1LYP,,,
B1P,B1P,,,,
B1P86,B1P86,,,,
B3LYP,B3LYP,B3LYP,,,
B3LYP-NL,B3LYP NL,,,,
B3P,B3P,,,,
B3P86,B3P86,B3P86,,,
B3PW,B3PW,,,,
B3PW91,B3PW91,B3PW91,,,
B97-1,,B971,,,
B97-2,,B972,,,
B98,,B98,,,
BHandH,,BHandH,,,
BHandHLYP,BHANDHLYP,BHandHLYP,,,
BHLYP,BHLYP,,,,
BMK,,BMK,,,
HISS,,HISSbPBE,,,
HSE03,,,,,
HSE06,,,,,
LC-whPBE,,LC-wHPBE,,,
M05,,M05,,,
M052X,,M052X,,,
M06,M06,M06,,,
M062X,M062X,M062X,,,
M06HF,,M06HF,,,
M08HX,,M08HX,,,
MN15,,MN15,,,
MPW1B95,,,,,
MPW1KCIS,,,,,
mPW1LYP,mPW1LYP,mPW1LYP,,,
mPW1PBE,,mPW1PBE,,,
mPW1PW,mPW1PW,,,,
mPW1PW91,,mPW1PW91,,,
mPW3PBE,,mPW3PBE,,,
MPWB1K,,,,,
MPWKCIS1K,,,,,
O3LYP,O3LYP,O3LYP,,,
PBE0,PBE0,PBE1PBE,,,
PBE1KCIS,,,,,
PBEh1PBE,,PBEh1PBE,,,
PW1PW,PW1PW,,,,
PW6B95,PW6B95,PW6B95,,,
PW6B95D3,,PW6B95D3,,,
REVPBE0,REVPBE0,,,,
REVPBE38,REVPBE38,,,,
revTPSS0,,,,,
revTPSSh,,,,,
SOGGA11X,,SOGGA11X,,,
tHCTHhyb,,tHCTHhyb,,,
TPSS0,TPSS0,,,,
TPSS1KCIS,,,,,
TPSSh,TPSSh,TPSSh,,,
wB97X-D3,wB97X-D3,,,,
wB97X-V,wB97X-V,,,,
X3LYP,X3LYP,X3LYP,,,
range-separated,,,,,
CAM-B3LYP,CAM-B3LYP,CAM-B3LYP,,,
HISSbPBE,,HISSbPBE,,,
HSEH1PBE,,HSEH1PBE,,,
LC-BLYP,LC-BLYP,LC-BLYP,,,
LC-PBE,LC-PBE,LC-PBEPBE,,,
LC-wPBE,,LC-wPBE,,,
